T Z1 Z2
5.000000000000001 86.49753459955517 13.336406211197929
5.052173012077864 84.98546905961068 14.860618258931233
5.104890428793583 83.34612601209226 16.511347082521564
5.158157930793108 81.57798704323427 18.290162049665142
5.2119812579976665 79.68120470293658 20.196956038275097
5.266366210222289 77.65779888573734 22.22974958355368
5.321318647800765 75.5118093810333 24.384538860993324
5.376844492217138 73.24938890731633 26.655203194221343
5.432949726743788 70.87882388778466 29.03348482598566
5.489640397086153 68.41047371734251 31.509050194548788
5.546922612034214 65.8566241374931 34.06963708836777
5.604802544120741 63.231256205652286 36.701286179884285
5.6632864302864325 60.549738649576945 39.38864913424366
5.7223805725519785 57.8284574362376 42.11535945067232
5.782091338697156 55.08440143304264 44.86444714761317
5.842425162946987 52.33472646972046 47.61877497548445
5.903388546665076 49.596321500288084 50.36147245383259
5.964988059054174 46.885399776639176 53.07634482195519
6.027230337864043 44.217135139761474 55.74823680186955
6.090122090106732 41.60535913605663 58.3633354747095
6.153670092779292 39.06232927740101 60.90940196317476
6.217881193594046 36.598573055066225 63.37592732272588
6.282762311716466 34.222806918143675 65.75421344405886
6.348320438510772 31.941973533841235 68.03733561645043
6.414562638293286 29.761872138640527 70.21951153537994
6.481496049093663 27.686992050259512 72.29626801057947
6.549127883424062 25.720146575817182 74.26480740487091
6.617465429056333 23.86260375275932 76.12387678083041
6.6865160498073335 22.11425343364085 77.87360071328209
6.756287186332418 20.4737893824676 79.5152991122177
6.826786356927227 18.93889652286823 81.051299916509
6.898021158337818 17.506435205007065 82.48475479072525
6.969999266579282 16.1726162108281 83.81946410365708
7.04272843776287 14.933162021072368 85.05971566262906
7.116216508931773 13.783451500774605 86.21014004407162
7.190471398905612 12.718646550744841 87.27558396993173
7.265501109133739 11.733800390692638 88.26100206145084
7.341313724557452 10.823947986405273 89.17136645531687
7.417917414481196 9.984179731113349 90.01159316978513
7.495320433452862 9.209699874314568 90.78648372557204
7.573531122153261 8.495871399395586 91.50068031860566
7.652557908294896 7.838249123799292 92.1586327696423
7.7324093075301 7.232602768413435 92.76457550313016
7.8130939243686495 6.67493164740647 93.32251290341311
7.894620453104963 6.161472491388299 93.83621153493596
7.976997678754964 5.68870549901308 94.30919412780743
8.060234478002718 5.253450330804372 94.74464353828083
8.144339820156967 4.852844033995556 95.1454248803913
8.229322768117624 4.484207442527359 95.51421926587184
8.315192479352351 4.145035577241658 95.85353342792341
8.401958206883354 3.832993212154065 96.16570417177897
8.48962930028444 3.5459090234142177 96.4529042415904
8.578215206688505 3.2817687110264497 96.7171492135073
8.667725471805518 3.0387074182919847 96.96030508996448
8.758169740951143 2.815001715975641 97.18409632817978
8.849557760086068 2.6090613674120795 97.39011408667254
8.941899376866212 2.4194210468777593 97.57982451751684
9.03520454170387 2.244732146087264 97.75457696952043
9.129483308839927 2.0837547720652925 97.91561199913527
9.224745837427278 1.9353500132751773 98.06406911227839
9.321002392625541 1.798472529125363 98.20099418200347
9.41826334670719 1.6721635002200226 98.32734650471767
9.51653918017524 1.5555439624066532 98.44400547195072
9.615840482892592 1.447808536280026 98.55177684607371
9.716177955223143 1.3482195548680722 98.65139863729615
9.81756240918485 1.2561015853393172 98.74354658615239
9.920004769614767 1.170836335379475 98.82883926087675
10.023516075346283 1.091858077066244 98.90784263680632
10.128107480398622 1.018662339576274 98.9810613999903
10.23379025517877 0.950808704996871 99.04893615096381
10.340575787695922 0.8878923719796485 99.11187185639548
10.448475584788627 0.8295390222102754 99.1702429854464
10.557501273364714 0.775402641528544 99.2243956898962
10.667664601654177 0.7251634735420824 99.27464985167475
10.778977440475117 0.678526101639163 99.32130100190079
10.891451784512908 0.635217654684019 99.36462211615083
11.00509975361268 0.594986131234059 99.40486529112528
11.119933594085344 0.5575988368254251 99.44226330817133
11.235965680027196 0.5228409287027191 99.47703108929271
11.3532085146533 0.4905140622982194 99.5093670513461
11.4716747316448 0.4604351337767716 99.5394543641134
11.591377096510286 0.43243511303727983 99.56746211786351
11.712328507961352 0.40635796168655886 99.59354640589224
11.834541999302505 0.3820596306650292 99.6178513273651
11.958030739835625 0.3594071323961873 99.64050991559486
12.082808036279005 0.3382776825440297 99.66164499667308
12.208887334201263 0.3185579066897359 99.68136998314756
12.336282219470174 0.30014310747328926 99.69978960720341
12.465006419716644 0.2829365879844439 99.71700059756546
12.595073805813948 0.266849028144703 99.73309230338316
12.726498393372411 0.2517988804295543 99.7481462984079
12.859294344249676 0.23771349658170643 99.76223525393752
12.993475968076744 0.22452591655514365 99.77542615106164
13.12905772379993 0.2121739163601851 99.78778123316907
13.266054221238887 0.20059967033762274 99.79935834380318
13.404480222660943 0.18974943680889528 99.81021124113089
13.544350644371818 0.1795732656200613 99.82038989050888
13.685680558322943 0.17002472617489012 99.82994073655189
13.828485193735576 0.16106065462889563 99.83890695603222
13.97277993874184 0.15264091899057228 99.84732869286461
14.11858034204291 0.14472820094884145 99.8552432763583
14.265902114584447 0.13728779331581617 99.8626854238472
14.414761131249612 0.13028741204180858 99.86968742874228
14.565173432569654 0.12369702182447895 99.8762793349843
14.71715522645238 0.11748867439630689 99.88248909881334
14.870722889928679 0.11163635863407381 99.88834273871174
15.02589297091724 0.10611586169057093 99.89386447432067
15.182682190007709 0.10090464040252754 99.89907685507646
15.341107442262436 0.095981702279622 99.90400087926234
15.501185799037028 0.09132749542751084 99.90865610412303
15.6629345098199 0.08692380680302937 99.9130607476437
15.826371004091024 0.08275366824223765 99.91723178255381
15.991512893200062 0.07880168933732493 99.92118460340168
16.158377972264116 0.07505556654570417 99.9249315171864
