,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,T[eV]
0,1.8024654593828604e-08,0.0001101932439018367,0.0253752950653358,0.4905306985991462,0.4467158520688869,0.037110849666445456,0.00015690789702177093,1.8542573323806072e-07,8.87409838755284e-12,1.6394097545114746e-28,5.171368747632245e-48,1.9834276732790584e-70,1.2213636093879737e-96,3.634543626448577e-126,3.529618279800613e-159,2.4520219080470077e-196,1.0996967239504043e-236,2.2094873601832648e-300,0.0,10.0
1,1.6881003860001083e-08,0.00010406581661831586,0.02431332424704592,0.4810828537614986,0.4546029807925864,0.03971740707565336,0.0001791193990656749,2.3201416923370677e-07,1.235856707411988e-11,2.8953110782780484e-28,1.223493995324457e-47,8.008377657852388e-70,8.443783460607199e-96,2.737698331188549e-125,3.3564251702053935e-158,1.231298674069388e-194,2.5068657349177985e-234,5.0571585898494604e-298,0.0,10.069386314760276
2,1.580360564321805e-08,9.824209910730235e-05,0.02328666718233886,0.47159843453975653,0.46234149352088555,0.04247062277939479,0.00020423425959206447,2.897981491981623e-07,1.7170021094616902e-11,5.118803742546449e-28,2.902756497432917e-47,3.1916367784778245e-69,5.6945506818257896e-95,2.075614793580324e-124,3.285360737859938e-157,5.779416235926665e-193,4.931960541239229e-232,9.989756481805942e-296,0.0,10.139254075588154
3,1.4789063980915302e-08,9.270934670517741e-05,0.022294608424982914,0.46208625418737365,0.469917886725228,0.04537557062788013,0.00023259454172895472,3.6133324000472975e-07,2.3797154258847215e-11,9.058522464401537e-28,6.904764364997747e-47,1.2555279603165897e-68,3.7468809641695573e-94,1.5832321196083686e-123,3.307267724270099e-156,2.537115533744598e-191,8.388911303724685e-230,1.7060956995375583e-293,0.0,10.209606623060465
4,1.3834127719192581e-08,8.745521436937397e-05,0.021336425417019782,0.4525550666978432,0.47731876798893924,0.048437243884552623,0.00026457720590207593,4.497243438086661e-07,3.290211989097835e-11,1.6043907206478619e-27,1.6463807926531821e-46,4.875183439698441e-68,2.405669841894513e-93,1.2144584096054862e-122,3.4208865089869563e-155,1.0423561689441183e-189,1.2360248586822975e-227,2.524003166787024e-291,0.0,10.280447320933092
5,1.293568600254794e-08,8.2467750614335e-05,0.02041138941081783,0.4430135444543897,0.4845308977865974,0.05166053192360938,0.00030059695725879137,5.58735646931768e-07,4.537964498467435e-11,2.8436303259975824e-27,3.934278365173914e-46,1.868612867353421e-67,1.507424870270209e-92,9.363896342853283e-122,3.6322245543164766e-154,4.0107567874720476e-188,1.5808691259972884e-225,3.241348228530176e-289,0.0,10.351779556301762
6,1.209076384038318e-08,7.7735391387079e-05,0.019518766421038374,0.43347025662747984,0.4915412310770232,0.05505019616791594,0.0003411092412071056,6.929207490626251e-07,6.243540252939058e-11,5.043020206647935e-27,9.420194021439472e-46,7.070145564206987e-67,9.220558791855554e-92,7.2536069910478725e-121,3.95486182924419e-153,1.4464961503561684e-186,1.7591349599671057e-223,3.6215787897555854e-287,0.0,10.423606739764017
7,1.1296517747756274e-08,7.324695386478108e-05,0.018657818200115545,0.4239336484148941,0.4983369584976509,0.05861084538890575,0.0003866133860638825,8.577762975957281e-07,8.568960953749942e-11,8.94757148013875e-27,2.2595267593426748e-45,2.640825664942344e-66,5.506809303466104e-91,5.6422738914470144e-120,4.411151450478538e-152,4.894049981314944e-185,1.7072723558063887e-221,3.5291673169630454e-285,0.0,10.495932305582278
8,1.0550231458403841e-08,6.899163015932483e-05,0.01782780323080051,0.4144120212080703,0.5049055469471303,0.06234691050240334,0.0004376558909623834,1.0599229287041166e-06,1.1731356728355948e-10,1.5880229289155265e-26,5.4279659402675e-45,9.738234204317304e-66,3.211993783786201e-90,4.404815332381529e-119,5.0344139986427455e-151,1.5548665438642169e-183,1.4489514188039626e-219,3.0074284939092975e-283,0.0,10.56875971184804
9,9.849311708551226e-09,6.495898091645636e-05,0.017027977729349445,0.4049135137573601,0.5112347793428047,0.0662626190058523,0.000494833856345654,1.3073178505141233e-06,1.6020909116036538e-10,2.8189252208382227e-26,1.3056113388653975e-44,3.545535003434441e-65,1.830221088440366e-89,3.4493440700135593e-118,5.872359109597555e-150,4.643442551547631e-182,1.0784076137142457e-217,2.2474890133691613e-281,0.0,10.642092440647241
10,9.191284090549715e-09,6.113892880000755e-05,0.016257596653060917,0.3954460843978184,0.5173127933403349,0.07036196921286562,0.0005587985535924564,1.6095040000341595e-06,2.1824361449804673e-10,5.0040470698318207e-26,3.1436851895334947e-44,1.2746231478244302e-64,1.019109998749198e-88,2.707904929802029e-117,6.9921195700665835e-149,1.3049512999662547e-180,7.060044695421234e-216,1.4773930056174032e-279,0.0,10.715933998226712
11,8.573788975817006e-09,5.752175185436508e-05,0.015515914706044336,0.3860174943861228,0.5231281188044168,0.07464870445023021,0.000630259129614894,1.9779013703259195e-06,2.965573476271639e-10,8.881858013450262e-26,7.5752947935452e-44,4.525048843783317e-64,5.547204688583733e-88,2.12991315966693e-116,8.48746830388535e-148,3.4552417959514746e-179,4.078814928251852e-214,8.570320311012216e-278,0.0,10.79028791516184
12,7.994577507002394e-09,5.409807674123169e-05,0.014802187337371587,0.37663529238888643,0.5286697138218818,0.07912628739007381,0.0007099864416596519,2.4261468444867496e-06,4.019634208576677e-10,1.5760213183419449e-25,1.826325283781631e-43,1.5865544141199953e-63,2.9527240752137626e-87,1.677474402004291e-115,1.048902206522716e-146,8.63085870669958e-178,2.086707367843327e-212,4.40249902086436e-276,0.0,10.865157746525384
13,7.45150765966988e-09,5.0858871849348704e-05,0.014115671726071744,0.3673068001525283,0.53392699905207,0.08379787469573884,0.0007988170170705423,2.9704896958166196e-06,5.43467673038669e-10,2.7952777155293666e-25,4.40405964573728e-43,5.4945444139562e-63,1.537589466585477e-86,1.322024555262139e-114,1.3178528554062631e-145,2.03667932946154e-176,9.488211106928362e-211,2.010002522515585e-274,0.0,10.940547072057424
14,6.942540374120833e-09,4.779544027844882e-05,0.013455627747792534,0.35803909937541,0.5388898902141235,0.0886662921636242,0.000897657132461316,3.6302508275289223e-06,7.329419557296148e-10,4.954715812516281e-25,1.0619365489239909e-42,1.8798119986905752e-62,7.836351886772519e-86,1.041901684881243e-113,1.6808689235282723e-144,4.54702696926303e-175,3.849417029648105e-209,8.188065769655518e-273,0.0,11.016459496336564
15,6.465735758272797e-09,4.4899412701151436e-05,0.012821318918362672,0.348839019794529,0.543548828516511,0.09373401054468834,0.0010074870066380621,4.428354840188682e-06,9.859938632616142e-10,8.775405353542616e-25,2.5596669720847234e-42,6.354341908039005e-62,3.910613663951633e-85,8.205804168189108e-113,2.173037443994092e-143,9.619546568268898e-174,1.3992248884334421e-207,2.988458211735849e-271,0.0,11.092898648952227
16,6.019249362723246e-09,4.2162740108698794e-05,0.0122120133099194,0.33971312849087315,0.5478948088416025,0.09900312222828184,0.0011293651017361495,5.391945141882286e-06,1.3230871091485468e-09,1.5527136509620251e-24,6.165556896942007e-42,2.122629703683694e-61,1.911831276702074e-84,6.453802301982526e-112,2.8429493261452604e-142,1.9316750252119075e-172,4.5767885516817744e-206,9.815053753633194e-270,0.0,11.169868184678231
17,5.601328529315094e-09,3.957768644849211e-05,0.011626984435725048,0.33066772041075665,0.5519194055066335,0.1044753189671309,0.0012644325274282018,6.553093567926745e-06,1.7709808871028577e-09,2.74416163403989e-24,1.4836266300070277e-41,7.008197362435375e-61,9.161347285964465e-84,5.065148781417445e-111,3.7576082597144784e-141,3.688431888703413e-171,1.3533864730556566e-204,2.9142334205713076e-268,0.0,11.24737178364752
